"","beta;-alanine","GDP-beta;-L-fucose","fumarate","UDP-alpha;-D-galacturonate","L-glutamine","D-threo-isocitrate","L-lysine","L-phenylalanine","shikimate","succinate","sucrose","threonate","L-tryptophan","L-tyrosine","uracil","L-valine"
"beta;-alanine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"GDP-beta;-L-fucose",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"fumarate",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"UDP-alpha;-D-galacturonate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-glutamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-threo-isocitrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-lysine",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"L-phenylalanine",0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1
"shikimate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"succinate",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"sucrose",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"threonate",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"L-tryptophan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-tyrosine",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
"uracil",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L-valine",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
